ZipCode,AssessTot,LandUse,Address,MaxValues,,,,,,
10001,642073500,8,360 WEST STREET,,,,,,,
10001,403387650,9,420 8 AVENUE,,,,,,,
10001,369825300,5,206 WEST 34 STREET,,,,,,,
10001,367354350,5,501 WEST 30 STREET,,,,,,,
10001,216832050,5,601 WEST 26 STREET,,,,,,,
10001,215721886,5,500 WEST 33 STREET,,,,,,,
10001,193260600,5,100 WEST 33 STREET,,,,,,,
10001,166751550,5,441 7 AVENUE,,,,,,,
10001,166432050,5,393 7 AVENUE,,,,,,,
10001,129798098,4,835 AVENUE OF THE AMER,,,,,,,
10001,127608300,5,1302 BROADWAY,,,,,,,
10001,122056650,5,450 WEST 33 STREET,,,,,,,
10001,117118800,4,1282 BROADWAY,,,,,,,
10001,115977150,5,401 7 AVENUE,,,,,,,
10001,115266150,8,441 8 AVENUE,,,,,,,
10001,104961150,3,270 9 AVENUE,,,,,,,
10001,101616750,8,401 WEST 29 STREET,,,,,,,
10001,94388850,3,539 WEST 28 STREET,,,,,,,
10001,86985906,4,252 7 AVENUE,,,,,,,
10001,84643768,4,125 WEST 31 STREET,,,,,,,
10001,83921850,4,315 WEST 33 STREET,,,,,,,
10001,82567800,5,481 8 AVENUE,,,,,,,
10001,82321200,8,1311 BROADWAY,,,,,,,
10001,81036900,5,461 8 AVENUE,,,,,,,
10001,80323200,5,1240 BROADWAY,,,,,,,
10001,79166700,4,427 WEST 31 STREET,,,,,,,
10001,79157250,5,112 WEST 34 STREET,,,,,,,
10001,77552014,4,855 AVENUE OF THE AMER,,,,,,,
10001,74127150,3,776 AVENUE OF THE AMER,,,,,,,
10001,68445000,5,391 9 AVENUE,,,,,,,
10001,66762450,5,330 WEST 34 STREET,,,,,,,
10001,64690352,4,885 AVENUE OF THE AMER,,,,,,,
10001,62164800,8,340 8 AVENUE,,,,,,,
10001,61898400,3,407 WEST 25 STREET,,,,,,,
10001,61157250,8,314 10 AVENUE,,,,,,,
10001,60763051,4,553 WEST 30 STREET,,,,,,,
10001,60018300,5,371 7 AVENUE,,,,,,,
10001,59810850,5,380 11 AVENUE,,,,,,,
10001,58627350,5,128 WEST 31 STREET,,,,,,,
10001,55791000,4,500 WEST 30 STREET,,,,,,,
10001,54139950,4,560 WEST 33 STREET,,,,,,,
10001,52930350,5,261 11 AVENUE,,,,,,,
10001,50372550,5,275 7 AVENUE,,,,,,,
10001,49424850,4,777 AVENUE OF THE AMER,,,,,,,
10001,47953350,3,534 WEST 30 STREET,,,,,,,
10001,47006100,5,31 WEST 34 STREET,,,,,,,
10001,46047600,5,433 7 AVENUE,,,,,,,
10001,44857350,5,7 WEST 34 STREET,,,,,,,
10001,44511750,5,440 9 AVENUE,,,,,,,
10001,42428700,5,433 9 AVENUE,,,,,,,
10001,41369400,5,1186 BROADWAY,,,,,,,
10001,41246550,5,319 7 AVENUE,,,,,,,
10001,40833000,5,228 5 AVENUE,,,,,,,
10001,40195800,4,796 AVENUE OF THE AMER,,,,,,,
10001,40109400,5,362 9 AVENUE,,,,,,,
10001,40068000,5,1164 BROADWAY,,,,,,,
10001,39955500,5,1260 BROADWAY,,,,,,,
10001,39546000,3,305 9 AVENUE,,,,,,,
10001,39336300,5,333 WEST 34 STREET,,,,,,,
10001,39015000,5,4 WEST 33 STREET,,,,,,,
10001,37363500,5,370 7 AVENUE,,,,,,,
10001,36367200,5,460 WEST 34 STREET,,,,,,,
10001,35882550,8,243 WEST 27 STREET,,,,,,,
10001,35674200,3,264 10 AVENUE,,,,,,,
10001,35043300,7,201 11 AVENUE,,,,,,,
10001,34919100,5,420 7 AVENUE,,,,,,,
10001,34456050,5,152 WEST 26 STREET,,,,,,,
10001,34364700,5,63 WEST 35 STREET,,,,,,,
10001,32384700,3,200 WEST 26 STREET,,,,,,,
10001,31901850,4,354 WEST 34 STREET,,,,,,,
10001,31760550,5,218 WEST 35 STREET,,,,,,,
10001,31149900,4,9 WEST 31 STREET,,,,,,,
10001,30617100,5,325 WEST 33 STREET,,,,,,,
10001,30115350,5,17 WEST 34 STREET,,,,,,,
10001,30058200,7,239 11 AVENUE,,,,,,,
10001,29264850,8,300 7 AVENUE,,,,,,,
10001,28918350,5,875 AVENUE OF THE AMER,,,,,,,
10001,28144800,5,21 WEST 34 STREET,,,,,,,
10001,28030050,5,135 WEST 30 STREET,,,,,,,
10001,27464400,4,223 WEST 34 STREET,,,,,,,
10001,26624250,5,326 5 AVENUE,,,,,,,
10001,26605800,5,330 7 AVENUE,,,,,,,
10001,26475300,5,358 5 AVENUE,,,,,,,
10001,26344350,4,856 AVENUE OF THE AMER,,,,,,,
10001,24663150,5,124 WEST 29 STREET,,,,,,,
10001,23995800,8,406 WEST 31 STREET,,,,,,,
10001,23506200,5,276 5 AVENUE,,,,,,,
10001,23376600,4,260 WEST 26 STREET,,,,,,,
10001,22937400,6,516 WEST 34 STREET,,,,,,,
10001,22698000,5,345 WEST 35 STREET,,,,,,,
10001,22677300,5,22 WEST 34 STREET,,,,,,,
10001,22659750,5,232 WEST 29 STREET,,,,,,,
10001,22113000,3,324 WEST 30 STREET,,,,,,,
10001,20937150,5,29 WEST 32 STREET,,,,,,,
10001,20916900,5,366 5 AVENUE,,,,,,,
10001,20822850,5,44 WEST 28 STREET,,,,,,,
10001,20705400,5,960 AVENUE OF THE AMER,,,,,,,
10001,20686950,5,144 WEST 34 STREET,,,,,,,
10001,20228850,5,119 WEST 31 STREET,,,,,,,
10001,20125800,3,427 WEST 26 STREET,,,,,,,
10001,19696050,5,244 11 AVENUE,,,,,,,
10001,19106104,3,261 WEST 25 STREET,,,,,,,
10001,19006200,4,514 WEST 28 STREET,,,,,,,
10001,18970650,5,121 WEST 26 STREET,,,,,,,
10001,18781200,5,29 WEST 34 STREET,,,,,,,
10001,18636750,5,320 5 AVENUE,,,,,,,
10001,18621900,11,389 9 AVENUE,,,,,,,
10001,18594000,5,424 WEST 33 STREET,,,,,,,
10001,18548550,4,519 WEST 26 STREET,,,,,,,
10001,18490666,5,131 WEST 33 STREET,,,,,,,
10001,18451393,4,130 WEST 30 STREET,,,,,,,
10001,17973622,4,540 WEST 28 STREET,,,,,,,
10001,17928900,4,520 WEST 30 STREET,,,,,,,
10001,17853750,5,158 WEST 25 STREET,,,,,,,
10001,17618400,11,400 11 AVENUE,,,,,,,
10001,17425800,4,220 WEST 26 STREET,,,,,,,
10001,17368200,8,282 7 AVENUE,,,,,,,
10001,17253900,5,325 WEST 35 STREET,,,,,,,
10001,17160300,4,401 WEST 25 STREET,,,,,,,
10001,16964100,5,132 WEST 27 STREET,,,,,,,
10001,16742700,5,121 WEST 28 STREET,,,,,,,
10001,16514550,10,225 WEST 30 STREET,,,,,,,
10001,16414200,10,651 WEST 33 STREET,,,,,,,
10001,16132052,5,301 7 AVENUE,,,,,,,
10001,16129350,3,278 10 AVENUE,,,,,,,
10001,16103250,5,43 WEST 35 STREET,,,,,,,
10001,16088850,5,57 WEST 35 STREET,,,,,,,
10001,15880050,3,313 8 AVENUE,,,,,,,
10001,15866100,5,144 WEST 30 STREET,,,,,,,
10001,15855750,5,1 WEST 34 STREET,,,,,,,
10001,15762600,5,32 WEST 29 STREET,,,,,,,
10001,15677100,3,250 9 AVENUE,,,,,,,
10001,15507000,5,322 8 AVENUE,,,,,,,
10001,15494850,4,130 WEST 34 STREET,,,,,,,
10001,15372900,4,1313 BROADWAY,,,,,,,
10001,15277950,5,123 WEST 28 STREET,,,,,,,
10001,15140250,4,529 WEST 29 STREET,,,,,,,
10001,15112350,3,35 WEST 33 STREET,,,,,,,
10001,15085800,5,18 WEST 33 STREET,,,,,,,
10001,15081753,4,245 7 AVENUE,,,,,,,
10001,14996700,8,281 9 AVENUE,,,,,,,
10001,14962269,5,119 WEST 25 STREET,,,,,,,
10001,14868450,5,239 WEST 28 STREET,,,,,,,
10001,14806350,8,259 10 AVENUE,,,,,,,
10001,14780700,9,294 10 AVENUE,,,,,,5,MODE FOR 10001
10001,14600700,5,237 WEST 35 STREET,,,,,,,
10001,14577300,5,307 7 AVENUE,,,,,,,
10001,14531400,3,372 5 AVENUE,,,,,,,
10001,14487746,4,315 7 AVENUE,,,,,,,
10001,14473350,5,421 7 AVENUE,,,,,,,
10001,14206500,5,350 7 AVENUE,,,,,,,
10001,14195250,5,345 7 AVENUE,,,,,,,
10001,14009400,4,421 WEST 35 STREET,,,,,,,
10001,13989603,3,420 WEST 25 STREET,,,,,,,
10001,13960350,5,132 WEST 36 STREET,,,,,,,
10001,13813650,5,352 7 AVENUE,,,,,,,
10001,13797450,5,400 8 AVENUE,,,,,,,
10001,13795650,11,1227 BROADWAY,,,,,,,
10001,13788000,6,151 WEST 26 STREET,,,,,,,
10001,13635900,5,444 10 AVENUE,,,,,,,
10001,13610700,5,116 WEST 31 STREET,,,,,,,
10001,13593600,5,31 WEST 27 STREET,,,,,,,
10001,13545900,5,6 WEST 32 STREET,,,,,,,
10001,13471647,5,15 WEST 34 STREET,,,,,,,
10001,13363650,6,213 WEST 35 STREET,,,,,,,
10001,13324500,5,115 WEST 30 STREET,,,,,,,
10001,13303350,5,17 WEST 32 STREET,,,,,,,
10001,13270950,4,1226 BROADWAY,,,,,,,
10001,12890250,5,1270 BROADWAY,,,,,,,
10001,12744000,5,262 11 AVENUE,,,,,,,
10001,12724650,5,43 WEST 34 STREET,,,,,,,
10001,12715650,5,521 WEST 25 STREET,,,,,,,
10001,12690000,5,240 WEST 35 STREET,,,,,,,
10001,12685500,5,218 5 AVENUE,,,,,,,
10001,12658050,8,210 WEST 27 STREET,,,,,,,
10001,12657150,5,30 WEST 31 STREET,,,,,,,
10001,12590100,5,1255 BROADWAY,,,,,,,
10001,12461148,5,815 AVENUE OF THE AMER,,,,,,,
10001,12391200,5,511 WEST 25 STREET,,,,,,,
10001,12307140,11,WEST 30 STREET,,,,,,,
10001,12129750,5,494 8 AVENUE,,,,,,,
10001,12043350,4,547 WEST 27 STREET,,,,,,,
10001,11849850,3,303 10 AVENUE,,,,,,,
10001,11821050,4,441 WEST 26 STREET,,,,,,,
10001,11810250,5,116 WEST 28 STREET,,,,,,,
10001,11763450,6,110 WEST 32 STREET,,,,,,,
10001,11706750,5,518 WEST 26 STREET,,,,,,,
10001,11674350,5,1140 BROADWAY,,,,,,,
10001,11663550,5,1271 BROADWAY,,,,,,,
10001,11650500,4,1265 BROADWAY,,,,,,,
10001,11613150,5,127 WEST 28 STREET,,,,,,,
10001,11565450,5,1195 BROADWAY,,,,,,,
10001,11559148,4,144 WEST 27 STREET,,,,,,,
10001,11359350,4,522 WEST 29 STREET,,,,,,,
10001,11305800,8,320 WEST 31 STREET,,,,,,,
10001,11129400,5,158 WEST 27 STREET,,,,,,,
10001,11069100,5,4 WEST 31 STREET,,,,,,,
10001,10930950,6,225 WEST 35 STREET,,,,,,,
10001,10917090,5,461 WEST 34 STREET,,,,,,,
10001,10841850,6,231 WEST 29 STREET,,,,,,,
10001,10836000,3,430 WEST 34 STREET,,,,,,,
10001,10834650,5,210 11 AVENUE,,,,,,,
10001,10810800,5,224 WEST 35 STREET,,,,,,,
10001,10776150,3,1200 BROADWAY,,,,,,,
10001,10680750,5,516 WEST 25 STREET,,,,,,,
10001,10674450,5,121 WEST 27 STREET,,,,,,,
10001,10577700,5,129 WEST 29 STREET,,,,,,,
10001,10493435,3,263 9 AVENUE,,,,,,,
10001,10485450,3,433 WEST 34 STREET,,,,,,,
10001,10479150,5,214 WEST 29 STREET,,,,,,,
