Zip Code,Average Asssessed,MaxValue,Address of Maximum,LandUse
10001,"10,557,760",642073500,360 WEST STREET,8
10002,"2,244,582",154701900,227 MADISON STREET,8
10003,"3,624,946",167684850,770 BROADWAY,5
10009,"1,960,787",635384250,240 1 AVENUE,4
10011,"3,523,765",418082400,111 8 AVENUE,5
10012,"3,552,418",101255400,568 BROADWAY,5
10013,"3,795,720",211096350,56 HUDSON STREET,5
10014,"2,395,035",204014700,375 HUDSON STREET,5
10016,"7,098,247",421217987,1221 AVENUE OF THE AMER,5
10019,"15,570,879",780049064,35 COLUMBUS CIRCLE,4
10021,"5,093,595",111116250,855 PARK AVENUE,8
10022,"15,841,375",823554900,761 5 AVENUE,5
10023,"6,361,345",368067150,155 WEST 60 STREET,8
10024,"3,035,581",405894600,200 CENTRAL PARK WEST,8
10025,"2,888,390",89434391,808 COLUMBUS AVENUE,4
10026,"973,718",34188014,40 WEST 116 STREET,4
10027,"1,939,722",1535389200,1100 AMSTERDAM AVENUE,8
10028,"3,655,043",110183715,150 EAST 86 STREET,4
10029,"1,880,832",269014950,1440 MADISON AVENUE,8
10030,"527,379",25157254,300 WEST 135 STREET,4
10031,"994,895",347766750,85 CONVENT AVENUE,8
10032,"2,086,006",335164050,180 FT WASHINGTON AVENUE,8
10036,"13,648,974",802866600,1111 AVENUE OF THE AMER,5
10065,"9,455,531",3401719200,1000 5 AVENUE,9
10128,"3,671,949",101425050,1849 2 AVENUE,4
,,,,
   ,,  ,  ,  
