ZipCode,AssessTot,LandUse
10001,642073500,8
10001,403387650,9
10001,369825300,5
10001,367354350,5
10001,216832050,5
10001,215721886,5
10001,193260600,5
10001,166751550,5
10001,166432050,5
10001,129798098,4
10001,127608300,5
10001,122056650,5
10001,117118800,4
10001,115977150,5
10001,115266150,8
10001,104961150,3
10001,101616750,8
10001,94388850,3
10001,86985906,4
10001,84643768,4
10001,83921850,4
10001,82567800,5
10001,82321200,8
10001,81036900,5
10001,80323200,5
10001,79166700,4
10001,79157250,5
10001,77552014,4
10001,74127150,3
10001,68445000,5
10001,66762450,5
10001,64690352,4
10001,62164800,8
10001,61898400,3
10001,61157250,8
10001,60763051,4
10001,60018300,5
10001,59810850,5
10001,58627350,5
10001,55791000,4
10001,54139950,4
10001,52930350,5
10001,50372550,5
10001,49424850,4
10001,47953350,3
10001,47006100,5
10001,46047600,5
10001,44857350,5
10001,44511750,5
10001,42428700,5
10001,41369400,5
10001,41246550,5
10001,40833000,5
10001,40195800,4
10001,40109400,5
10001,40068000,5
10001,39955500,5
10001,39546000,3
10001,39336300,5
10001,39015000,5
10001,37363500,5
10001,36367200,5
10001,35882550,8
10001,35674200,3
10001,35043300,7
10001,34919100,5
10001,34456050,5
10001,34364700,5
10001,32384700,3
10001,31901850,4
10001,31760550,5
10001,31149900,4
10001,30617100,5
10001,30115350,5
10001,30058200,7
10001,29264850,8
10001,28918350,5
10001,28144800,5
10001,28030050,5
10001,27464400,4
10001,26624250,5
10001,26605800,5
10001,26475300,5
10001,26344350,4
10001,24663150,5
10001,23995800,8
10001,23506200,5
10001,23376600,4
10001,22937400,6
10001,22698000,5
10001,22677300,5
10001,22659750,5
10001,22113000,3
10001,20937150,5
10001,20916900,5
10001,20822850,5
10001,20705400,5
10001,20686950,5
10001,20228850,5
10001,20125800,3
10001,19696050,5
10001,19106104,3
10001,19006200,4
10001,18970650,5
10001,18781200,5
10001,18636750,5
10001,18621900,11
10001,18594000,5
10001,18548550,4
10001,18490666,5
10001,18451393,4
10001,17973622,4
10001,17928900,4
10001,17853750,5
10001,17618400,11
10001,17425800,4
10001,17368200,8
10001,17253900,5
10001,17160300,4
10001,16964100,5
10001,16742700,5
10001,16514550,10
10001,16414200,10
10001,16132052,5
10001,16129350,3
10001,16103250,5
10001,16088850,5
10001,15880050,3
10001,15866100,5
10001,15855750,5
10001,15762600,5
10001,15677100,3
10001,15507000,5
10001,15494850,4
10001,15372900,4
10001,15277950,5
10001,15140250,4
10001,15112350,3
10001,15085800,5
10001,15081753,4
10001,14996700,8
10001,14962269,5
10001,14868450,5
10001,14806350,8
10001,14780700,9
10001,14600700,5
10001,14577300,5
10001,14531400,3
10001,14487746,4
10001,14473350,5
10001,14206500,5
10001,14195250,5
10001,14009400,4
10001,13989603,3
10001,13960350,5
10001,13813650,5
10001,13797450,5
10001,13795650,11
10001,13788000,6
10001,13635900,5
10001,13610700,5
10001,13593600,5
10001,13545900,5
10001,13471647,5
10001,13363650,6
10001,13324500,5
10001,13303350,5
10001,13270950,4
10001,12890250,5
10001,12744000,5
10001,12724650,5
10001,12715650,5
10001,12690000,5
10001,12685500,5
10001,12658050,8
10001,12657150,5
10001,12590100,5
10001,12461148,5
10001,12391200,5
10001,12307140,11
10001,12129750,5
10001,12043350,4
10001,11849850,3
10001,11821050,4
10001,11810250,5
10001,11763450,6
10001,11706750,5
10001,11674350,5
10001,11663550,5
10001,11650500,4
10001,11613150,5
10001,11565450,5
10001,11559148,4
10001,11359350,4
10001,11305800,8
10001,11129400,5
10001,11069100,5
10001,10930950,6
10001,10917090,5
10001,10841850,6
10001,10836000,3
10001,10834650,5
10001,10810800,5
10001,10776150,3
10001,10680750,5
10001,10674450,5
10001,10577700,5
10001,10493435,3
10001,10485450,3
10001,10479150,5
10001,10405800,4
10001,10396802,5
10001,10323903,5
10001,10161000,5
10001,10147050,6
10001,10107900,6
10001,10066500,5
10001,10045800,6
10001,9938250,6
10001,9930150,5
10001,9918900,4
10001,9762300,5
10001,9700200,5
10001,9625050,5
10001,9578250,5
10001,9568800,5
10001,9528300,5
10001,9498150,6
10001,9197550,5
10001,9153450,4
10001,9142650,5
10001,9012600,5
10001,9002250,5
10001,9000450,5
10001,8757450,5
10001,8702100,6
10001,8626500,5
10001,8616150,5
10001,8612377,5
10001,8549100,4
10001,8539650,5
10001,8488350,3
10001,8404200,5
10001,8398800,5
10001,8374950,5
10001,8346150,11
10001,8280450,4
10001,8266500,5
10001,8255250,8
10001,8205300,6
10001,8165700,5
10001,8161650,9
10001,8091000,6
10001,8087400,10
10001,7988850,6
10001,7982100,5
10001,7979850,5
10001,7927650,5
10001,7917300,4
10001,7903350,3
10001,7892100,5
10001,7858349,5
10001,7765200,11
10001,7700850,4
10001,7688250,6
10001,7669800,6
10001,7628400,3
10001,7540200,8
10001,7495198,4
10001,7491600,5
10001,7420500,5
10001,7410600,8
10001,7257600,5
10001,7144200,5
10001,7140600,3
10001,7109550,5
10001,6990750,3
10001,6989850,6
10001,6975000,6
10001,6944850,9
10001,6913800,4
10001,6894000,8
10001,6876450,5
10001,6848550,5
10001,6766329,5
10001,6735600,5
10001,6714450,3
10001,6640200,5
10001,6626250,10
10001,6615000,6
10001,6582600,5
10001,6570450,4
10001,6537150,6
10001,6489900,6
10001,6468750,5
10001,6440400,5
10001,6410250,4
10001,6409350,4
10001,6373800,6
10001,6331050,3
10001,6302700,6
10001,6204150,3
10001,6175800,6
10001,6154650,5
10001,6080850,3
10001,6068250,5
10001,6053850,5
10001,6022350,5
10001,5975550,5
10001,5937750,5
10001,5897700,6
10001,5896800,5
10001,5895900,5
10001,5799767,5
10001,5773050,3
10001,5751900,3
10001,5743350,5
10001,5735700,5
10001,5727600,5
10001,5724900,5
10001,5677200,4
10001,5673150,3
10001,5655150,5
10001,5604750,5
10001,5595750,4
10001,5561100,3
10001,5553000,6
10001,5550300,5
10001,5546700,8
10001,5520150,3
10001,5510700,5
10001,5499000,7
10001,5430150,6
10001,5405397,4
10001,5370750,3
10001,5357250,5
10001,5342849,3
10001,5330250,4
10001,5310000,3
10001,5292450,5
10001,5238900,5
10001,5223150,3
10001,5196150,6
10001,5181300,5
10001,5116052,4
10001,5113800,5
10001,5097600,5
10001,5064300,6
10001,5040450,3
10001,5033250,4
10001,5028300,8
10001,5008500,5
10001,4986450,5
10001,4960800,5
10001,4918500,5
10001,4914450,5
10001,4877100,6
10001,4718250,6
10001,4679550,5
10001,4673700,5
10001,4669650,5
10001,4667850,5
10001,4662450,10
10001,4657950,5
10001,4648050,4
10001,4537350,11
10001,4520700,5
10001,4476150,4
10001,4427550,3
10001,4409550,6
10001,4389507,5
10001,4375350,5
