ZipCode,LandUse
10001,8
10001,9
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,4
10001,5
10001,5
10001,4
10001,5
10001,8
10001,3
10001,8
10001,3
10001,4
10001,4
10001,4
10001,5
10001,8
10001,5
10001,5
10001,4
10001,5
10001,4
10001,3
10001,5
10001,5
10001,4
10001,8
10001,3
10001,8
10001,4
10001,5
10001,5
10001,5
10001,4
10001,4
10001,5
10001,5
10001,4
10001,3
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,4
10001,5
10001,5
10001,5
10001,3
10001,5
10001,5
10001,5
10001,5
10001,8
10001,3
10001,7
10001,5
10001,5
10001,5
10001,3
10001,4
10001,5
10001,4
10001,5
10001,5
10001,7
10001,8
10001,5
10001,5
10001,5
10001,4
10001,5
10001,5
10001,5
10001,4
10001,5
10001,8
10001,5
10001,4
10001,6
10001,5
10001,5
10001,5
10001,3
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,3
10001,5
10001,3
10001,4
10001,5
10001,5
10001,5
10001,11
10001,5
10001,4
10001,5
10001,4
10001,4
10001,4
10001,5
10001,11
10001,4
10001,8
10001,5
10001,4
10001,5
10001,5
10001,10
10001,10
10001,5
10001,3
10001,5
10001,5
10001,3
10001,5
10001,5
10001,5
10001,3
10001,5
10001,4
10001,4
10001,5
10001,4
10001,3
10001,5
10001,4
10001,8
10001,5
10001,5
10001,8
10001,9
10001,5
10001,5
10001,3
10001,4
10001,5
10001,5
10001,5
10001,4
10001,3
10001,5
10001,5
10001,5
10001,11
10001,6
10001,5
10001,5
10001,5
10001,5
10001,5
10001,6
10001,5
10001,5
10001,4
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,8
10001,5
10001,5
10001,5
10001,5
10001,11
10001,5
10001,4
10001,3
10001,4
10001,5
10001,6
10001,5
10001,5
10001,5
10001,4
10001,5
10001,5
10001,4
10001,4
10001,8
10001,5
10001,5
10001,6
10001,5
10001,6
10001,3
10001,5
10001,5
10001,3
10001,5
10001,5
10001,5
10001,3
10001,3
10001,5
10001,4
10001,5
10001,5
10001,5
10001,6
10001,6
10001,5
10001,6
10001,6
10001,5
10001,4
10001,5
10001,5
10001,5
10001,5
10001,5
10001,5
10001,6
10001,5
10001,4
10001,5
10001,5
10001,5
10001,5
10001,5
10001,6
10001,5
10001,5
10001,5
10001,4
10001,5
10001,3
10001,5
10001,5
10001,5
10001,11
10001,4
10001,5
10001,8
10001,6
10001,5
10001,9
10001,6
10001,10
10001,6
10001,5
10001,5
10001,5
10001,4
10001,3
10001,5
10001,5
10001,11
10001,4
10001,6
10001,6
10001,3
10001,8
10001,4
10001,5
10001,5
10001,8
10001,5
10001,5
10001,3
10001,5
10001,3
10001,6
10001,6
10001,9
10001,4
10001,8
10001,5
10001,5
10001,5
10001,5
10001,3
10001,5
10001,10
10001,6
10001,5
10001,4
10001,6
10001,6
10001,5
10001,5
10001,4
10001,4
10001,6
10001,3
10001,6
10001,3
10001,6
10001,5
10001,3
10001,5
10001,5
10001,5
10001,5
10001,5
10001,6
10001,5
10001,5
10001,5
10001,3
10001,3
10001,5
10001,5
10001,5
10001,5
10001,4
10001,3
10001,5
10001,5
10001,4
10001,3
10001,6
10001,5
10001,8
10001,3
10001,5
10001,7
10001,6
10001,4
10001,3
10001,5
10001,3
10001,4
10001,3
10001,5
10001,5
10001,3
10001,6
10001,5
10001,4
10001,5
10001,5
10001,6
10001,3
10001,4
10001,8
10001,5
10001,5
10001,5
10001,5
10001,5
10001,6
10001,6
10001,5
10001,5
10001,5
10001,5
10001,10
10001,5
10001,4
10001,11
10001,5
10001,4
10001,3
10001,6
