Zip Code,MaxValue,LandUse,Average Assessed,Address of Maximum
10001,642073500,8,10557760,360 WEST STREET
10002,154701900,8,2244582,227 MADISON STREET
10003,167684850,5,3624946,770 BROADWAY
10009,635384250,4,1960787,240 1 AVENUE
10011,418082400,5,3523765,111 8 AVENUE
10012,101255400,5,3552418,568 BROADWAY
10013,211096350,5,3795720,56 HUDSON STREET
10014,204014700,5,2395035,375 HUDSON STREET
10016,421217987,5,7098247,1221 AVENUE OF THE AMER
10019,780049064,4,15570879,35 COLUMBUS CIRCLE
10021,111116250,8,5093595,855 PARK AVENUE
10022,823554900,5,15841375,761 5 AVENUE
10023,368067150,8,6361345,155 WEST 60 STREET
10024,405894600,8,3035581,200 CENTRAL PARK WEST
10025,89434391,4,2888390,808 COLUMBUS AVENUE
10026,34188014,4,973718,40 WEST 116 STREET
10027,1535389200,8,1939722,1100 AMSTERDAM AVENUE
10028,110183715,4,3655043,150 EAST 86 STREET
10029,269014950,8,1880832,1440 MADISON AVENUE
10030,25157254,4,527379,300 WEST 135 STREET
10031,347766750,8,994895,85 CONVENT AVENUE
10032,335164050,8,2086006,180 FT WASHINGTON AVENUE
10036,802866600,5,13648974,1111 AVENUE OF THE AMER
10065,3401719200,9,9455531,1000 5 AVENUE
10128,101425050,4,3671949,1849 2 AVENUE
,,,,
   ,  ,  ,,  
