Zip Code,Average Assessed,LandUse,MaxValue
10001,10557760,8,642073500
10002,2244582,8,154701900
10003,3624946,5,167684850
10009,1960787,4,635384250
10011,3523765,5,418082400
10012,3552418,5,101255400
10013,3795720,5,211096350
10014,2395035,5,204014700
10016,7098247,5,421217987
10019,15570879,4,780049064
10021,5093595,8,111116250
10022,15841375,5,823554900
10023,6361345,8,368067150
10024,3035581,8,405894600
10025,2888390,4,89434391
10026,973718,4,34188014
10027,1939722,8,1535389200
10028,3655043,4,110183715
10029,1880832,8,269014950
10030,527379,4,25157254
10031,994895,8,347766750
10032,2086006,8,335164050
10036,13648974,5,802866600
10065,9455531,9,3401719200
10128,3671949,4,101425050
,,,
   ,,  ,  
