Zip Code,Average Assessed,MaxValue
10001,10557760,642073500
10002,2244582,154701900
10003,3624946,167684850
10009,1960787,635384250
10011,3523765,418082400
10012,3552418,101255400
10013,3795720,211096350
10014,2395035,204014700
10016,7098247,421217987
10019,15570879,780049064
10021,5093595,111116250
10022,15841375,823554900
10023,6361345,368067150
10024,3035581,405894600
10025,2888390,89434391
10026,973718,34188014
10027,1939722,1535389200
10028,3655043,110183715
10029,1880832,269014950
10030,527379,25157254
10031,994895,347766750
10032,2086006,335164050
10036,13648974,802866600
10065,9455531,3401719200
10128,3671949,101425050
,,
   ,,  
