Average Assessed,MaxValue
10557760,642073500
2244582,154701900
3624946,167684850
1960787,635384250
3523765,418082400
3552418,101255400
3795720,211096350
2395035,204014700
7098247,421217987
15570879,780049064
5093595,111116250
15841375,823554900
6361345,368067150
3035581,405894600
2888390,89434391
973718,34188014
1939722,1535389200
3655043,110183715
1880832,269014950
527379,25157254
994895,347766750
2086006,335164050
13648974,802866600
9455531,3401719200
3671949,101425050
,
,  
